object	relation	subject_external_db	subject_external_id	subject_name	comment
fan-shaped neuron	is_a	neuprint_JRC	358424052	FB8G^FB07h_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	693448777	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	886280641	FB9B_a^FB09c_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	265120677	FB8A^FB08b_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	299078990	FB7F^FB07n_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	295820085	FB8E^FB08m_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	886280235	FB9B_d^FB09c_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
LNd neuron	is_a	neuprint_JRC	5813064789	LNd(aSP7a)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	549917317	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
mushroom body vertical lobe arborizing neuron 3	is_a	neuprint_JRC	300972942	MBON14(a3)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	301314150	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	329289084	FB6G^FB06i_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813033277	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	519223027	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	332685594	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980192	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	1139921865	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
