filename	label	is_a	part_of	dbxrefs	comment
720575941431077769	BANC_626:720575941431077769	adult neuron	female organism	BANC626:720575941431077769	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_ipsilateral_restricted, Primary Cell Type - IN03A026, Alternative Cell Type(s) - IN03A026, Community labels - soma in VNC.
720575941431078575	BANC_626:720575941431078575	adult neuron	female organism	BANC626:720575941431078575	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Class - single_leg_neuromere, Sub Class - ventral_nerve_cord_ipsilateral_restricted, Primary Cell Type - IN09A006, Alternative Cell Type(s) - IN09A006, Community labels - CNS neuron,soma in VNC.
720575941431078793	BANC_626:720575941431078793	adult neuron	female organism	BANC626:720575941431078793	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_restricted, Primary Cell Type - IN01A051, Alternative Cell Type(s) - IN01A051, Community labels - soma in VNC.
720575941431078871	BANC_626:720575941431078871	adult neuron	female organism	BANC626:720575941431078871	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - medulla_intrinsic, Primary Cell Type - Mi13, Alternative Cell Type(s) - Mi13, Community labels - CNS neuron,soma in brain.
720575941431083183	BANC_626:720575941431083183	adult neuron	female organism	BANC626:720575941431083183	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_contralateral_restricted, Primary Cell Type - IN13B072, Alternative Cell Type(s) - IN13B072, Community labels - soma in VNC.
720575941431083873	BANC_626:720575941431083873	adult neuron	female organism	BANC626:720575941431083873	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Class - central_complex_intrinsic_neuron, Sub Class - PFN, Primary Cell Type - PFNm, Alternative Cell Type(s) - PFNm,PFNp, Community labels - PFNm,PFNp,soma in brain.
720575941431084975	BANC_626:720575941431084975	adult neuron	female organism	BANC626:720575941431084975	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Class - single_leg_neuromere, Sub Class - ventral_nerve_cord_ipsilateral_restricted, Primary Cell Type - IN21A047, Alternative Cell Type(s) - IN21A047, Community labels - soma in VNC.
720575941431086511	BANC_626:720575941431086511	adult neuron	female organism	BANC626:720575941431086511	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_ipsilateral_restricted, Primary Cell Type - IN04B007, Alternative Cell Type(s) - IN04B007, Community labels - soma in VNC.
720575941431086551	BANC_626:720575941431086551	adult neuron	female organism	BANC626:720575941431086551	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Class - single_leg_neuromere, Sub Class - ventral_nerve_cord_ipsilateral_restricted, Primary Cell Type - IN19A011, Alternative Cell Type(s) - IN19A011, Community labels - soma in VNC.
720575941431087374	BANC_626:720575941431087374	adult neuron	female organism	BANC626:720575941431087374	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Class - central_complex_intrinsic_neuron, Sub Class - vDelta, Primary Cell Type - vDeltaA, Alternative Cell Type(s) - vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM, Community labels - soma in brain.
720575941431090825	BANC_626:720575941431090825	adult neuron	female organism	BANC626:720575941431090825	BANC annotations: Flow - afferent, Super Class - sensory, Class - bristle_neuron, Sub Class - middle_leg_bristle_neuron, Primary Cell Type - SNta25, Alternative Cell Type(s) - SNta25.
720575941431091849	BANC_626:720575941431091849	adult neuron	female organism	BANC626:720575941431091849	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_restricted, Primary Cell Type - IN23B028, Alternative Cell Type(s) - IN23B028, Community labels - soma in VNC.
720575941431091887	BANC_626:720575941431091887	adult neuron	female organism	BANC626:720575941431091887	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Class - single_leg_neuromere, Sub Class - ventral_nerve_cord_ipsilateral_restricted, Primary Cell Type - IN19A004, Alternative Cell Type(s) - IN19A004, Community labels - soma in VNC.
720575941431092911	BANC_626:720575941431092911	adult neuron	female organism	BANC626:720575941431092911	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_ipsilateral_interconnecting, Primary Cell Type - IN12A034, Alternative Cell Type(s) - IN12A034, Community labels - soma in VNC.
720575941431093262	BANC_626:720575941431093262	adult neuron	female organism	BANC626:720575941431093262	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Class - central_complex_intrinsic_neuron, Sub Class - PFN, Primary Cell Type - PFNm, Alternative Cell Type(s) - PFNm,PFNp, Community labels - PFNp_a,soma in brain.
720575941431093774	BANC_626:720575941431093774	adult neuron	female organism	BANC626:720575941431093774	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Class - central_complex_output_neuron, Sub Class - PFL, Primary Cell Type - PFL1, Alternative Cell Type(s) - PFL1, Community labels - soma in brain.
720575941431097737	BANC_626:720575941431097737	adult neuron	female organism	BANC626:720575941431097737	BANC annotations: Flow - intrinsic, Super Class - descending, Class - descending_neuron, Primary Cell Type - DNge049, Alternative Cell Type(s) - DNge049,DNxl130, Community labels - CNS neuron,soma in brain.
720575941431099567	BANC_626:720575941431099567	adult neuron	female organism	BANC626:720575941431099567	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - IN12A006, Alternative Cell Type(s) - IN12A006, Community labels - soma in VNC.
720575941431100553	BANC_626:720575941431100553	adult neuron	female organism	BANC626:720575941431100553	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - IN06B086, Alternative Cell Type(s) - IN06B086, Community labels - soma in VNC.
720575941431100847	BANC_626:720575941431100847	adult neuron	female organism	BANC626:720575941431100847	BANC annotations: Flow - afferent, Super Class - sensory, Class - orphan_neuron, Sub Class - middle_leg_orphan_neuron, Primary Cell Type - SNxxxx, Alternative Cell Type(s) - SNxxxx, Nerve - left_mesothoracic_leg_nerve.
720575941431101615	BANC_626:720575941431101615	adult neuron	female organism	BANC626:720575941431101615	BANC annotations: Flow - intrinsic, Super Class - ascending, Class - ascending_neuron, Primary Cell Type - AN_GNG_88, Alternative Cell Type(s) - AN_GNG_88, Community labels - soma in VNC.
720575941431103625	BANC_626:720575941431103625	adult neuron	female organism	BANC626:720575941431103625	BANC annotations: Flow - intrinsic, Super Class - visual_projection, Class - lobula_plate_columnar, Primary Cell Type - LPC1, Alternative Cell Type(s) - LPC1, Community labels - CNS neuron,soma in brain.
720575941431104905	BANC_626:720575941431104905	adult neuron	female organism	BANC626:720575941431104905	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - IN05B010, Alternative Cell Type(s) - IN05B010, Community labels - soma in VNC.
720575941431105417	BANC_626:720575941431105417	adult neuron	female organism	BANC626:720575941431105417	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Primary Cell Type - EN00B004, Alternative Cell Type(s) - EN00B004, Community labels - soma in VNC.
720575941431105929	BANC_626:720575941431105929	adult neuron	female organism	BANC626:720575941431105929	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - IN18B012, Alternative Cell Type(s) - IN18B012, Community labels - soma in VNC.
720575941431106953	BANC_626:720575941431106953	adult neuron	female organism	BANC626:720575941431106953	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - IN07B008, Alternative Cell Type(s) - IN07B008, Community labels - soma in VNC.
720575941431106991	BANC_626:720575941431106991	adult neuron	female organism	BANC626:720575941431106991	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_ipsilateral_restricted, Primary Cell Type - INXXX427, Alternative Cell Type(s) - INXXX427, Community labels - sensory neuron.
720575941431107503	BANC_626:720575941431107503	adult neuron	female organism	BANC626:720575941431107503	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Class - ventral_nerve_cord_serially_convergent, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - IN07B007, Alternative Cell Type(s) - IN07B007, Community labels - soma in VNC.
720575941431111087	BANC_626:720575941431111087	adult neuron	female organism	BANC626:720575941431111087	BANC annotations: Flow - intrinsic, Super Class - ascending, Class - ascending_neuron, Primary Cell Type - ANXXX026, Alternative Cell Type(s) - ANXXX026, Community labels - soma in VNC.
720575941431112206	BANC_626:720575941431112206	adult neuron	female organism	BANC626:720575941431112206	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Class - kenyon_cell, Sub Class - KCg, Primary Cell Type - KCg-m, Alternative Cell Type(s) - KCg-m, Community labels - CNS neuron,soma in brain.
