filename	label	AD	DBD	part_of	Template	synonyms	comment
20x-Brain-1958765496488689762	JRC_OL0070B_Brain_2016_20131210_31_C4_20x	P{R91B01-p65.AD}	P{R22A07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0070B|GMR_OL0070B|JRC_OL0070B	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131210_31_C4', age: 'Day 1-5'
20x-Brain-2020722766663123042	JRC_OL0010B_Brain_2016_20140611_32_C1_20x	P{R92B11-p65.AD}	P{R82D11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0010B|GMR_OL0010B|JRC_OL0010B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140611_32_C1', age: 'Day 1-5'
20x-Brain-2020722768114352226	JRC_OL0015B_Brain_2016_20140611_32_D1_20x	P{R22H02-p65.AD}	P{R20G06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0015B|GMR_OL0015B|JRC_OL0015B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140611_32_D1', age: 'Day 1-5'
20x-Brain-2020722772065386594	JRC_OL0005B_Brain_2016_20140611_32_F1_20x	P{R21D03-p65.AD}	P{R65C12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0005B|GMR_OL0005B|JRC_OL0005B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140611_32_F1', age: 'Day 1-5'
20x-Brain-2020722776121278562	JRC_OL0027B_Brain_2016_20140611_32_H1_20x	P{R14A11-p65.AD}	P{R50C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0027B|GMR_OL0027B|JRC_OL0027B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140611_32_H1', age: 'Day 1-5'
20x-Brain-2021466527429034082	JRC_OL0003B_Brain_2016_20140612_31_A1_20x	P{R24A02-p65.AD}	P{R26A03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0003B|GMR_OL0003B|JRC_OL0003B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140612_31_A1', age: 'Day 1-5'
20x-Brain-2021466528737656930	JRC_OL0042B_Brain_2016_20140612_31_B1_20x	P{R26A03-p65.AD}	P{R24A02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0042B|GMR_OL0042B|JRC_OL0042B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140612_31_B1', age: 'Day 1-5'
20x-Brain-2021466565618172002	JRC_SS00315_Brain_2016_20140613_31_D1_20x	P{R47H03-p65.AD}	P{R72E01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00315|GMR_SS00315|JRC_SS00315	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140613_31_D1', age: 'Day 1-5'
20x-Brain-2021466530985803874	JRC_OL0004B_Brain_2016_20140612_31_C3_20x	P{R24A02-p65.AD}	P{R91B01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0004B|GMR_OL0004B|JRC_OL0004B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140612_31_C3', age: 'Day 1-5'
20x-Brain-2259780008018968613	JRC_OL0019B_Brain_2016_20140611_31_A2_20x	P{R35D04-p65.AD}	P{R22D06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0019B|GMR_OL0019B|JRC_OL0019B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140611_31_A2', age: 'Day 1-5'
