filename	label	is_a	part_of	dbxrefs	comment
720575940664354626	BANC_626:720575940664354626	adult neuron	female organism	BANC626:720575940664354626	BANC annotations: Flow - afferent, Super Class - sensory, Nerve - left_antennal_nerve.
720575941350274352	BANC_626:720575941350274352	adult neuron	female organism	BANC626:720575941350274352	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - GFC1, Alternative Cell Type(s) - GFC1, Community labels - soma in VNC.
720575941350334256	BANC_626:720575941350334256	adult neuron	female organism	BANC626:720575941350334256	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_restricted, Primary Cell Type - IN00A059, Alternative Cell Type(s) - IN00A059, Community labels - soma in VNC.
720575941350352176	BANC_626:720575941350352176	adult neuron	female organism	BANC626:720575941350352176	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Class - single_leg_neuromere, Sub Class - ventral_nerve_cord_ipsilateral_restricted, Primary Cell Type - IN21A042, Alternative Cell Type(s) - IN21A042, Community labels - soma in VNC.
720575941350354224	BANC_626:720575941350354224	adult neuron	female organism	BANC626:720575941350354224	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - IN06A085, Alternative Cell Type(s) - IN06A085, Community labels - soma in VNC.
720575941350374960	BANC_626:720575941350374960	adult neuron	female organism	BANC626:720575941350374960	BANC annotations: Primary Cell Type - IN08A018_T2_L, Alternative Cell Type(s) - IN08A018_T2_L, Community labels - soma in VNC.
720575941350393904	BANC_626:720575941350393904	adult neuron	female organism	BANC626:720575941350393904	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - IN06B047, Alternative Cell Type(s) - IN06B047, Community labels - soma in VNC.
720575941350395952	BANC_626:720575941350395952	adult neuron	female organism	BANC626:720575941350395952	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - IN00A022, Alternative Cell Type(s) - IN00A022, Community labels - soma in VNC.
720575941350396464	BANC_626:720575941350396464	adult neuron	female organism	BANC626:720575941350396464	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - IN00A043, Alternative Cell Type(s) - IN00A043, Community labels - soma in VNC.
720575941350409264	BANC_626:720575941350409264	adult neuron	female organism	BANC626:720575941350409264	BANC annotations: Flow - intrinsic, Super Class - ventral_nerve_cord_intrinsic, Sub Class - ventral_nerve_cord_bilateral_interconnecting, Primary Cell Type - IN08B073, Alternative Cell Type(s) - IN08B073, Community labels - soma in VNC.
