filename	synonyms	label	driver	part_of
flylight_gen1_gal4-Alignments-GMR_10A01_AE_01-GMR_10A01_AE_01-20080315_GMR_10A01_AE_01_09-fA01v_20080318234904718-20x-VNC-2622923429531090978-REG_UNISEX_VNC_8bitc_J18VU_SG10A01_AE_01	GMR_10A01_AE_01	JRC_R10A01_GAL4_VNC_20080315	P{GMR10A01-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10A02_AE_01-GMR_10A02_AE_01-20100928_GMR_10A02_AE_01_04-fA01v_20100929104314437-20x-VNC-2622400291814768677-REG_UNISEX_VNC_8bitc_J18VU_SG10A02_AE_01	GMR_10A02_AE_01	JRC_R10A02_GAL4_VNC_20100928	P{GMR10A02-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10A03_AE_01-GMR_10A03_AE_01-20090223_GMR_10A03_AE_01_02-fA01v_20090224112147421-20x-VNC-2623596876988940326-REG_UNISEX_VNC_8bitc_J18VU_SG10A03_AE_01	GMR_10A03_AE_01	JRC_R10A03_GAL4_VNC_20090223	P{GMR10A03-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10A04_AE_01-GMR_10A04_AE_01-20090406_GMR_10A04_AE_01_07-fA01v_20090406141325264-20x-VNC-2623463471303360551-REG_UNISEX_VNC_8bitc_J18VU_SG10A04_AE_01	GMR_10A04_AE_01	JRC_R10A04_GAL4_VNC_20090406	P{GMR10A04-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10A05_AE_01-GMR_10A05_AE_01-20090223_GMR_10A05_AE_01_01-fA01v_20090224112859593-20x-VNC-2627578520401870888-REG_UNISEX_VNC_8bitc_J18VU_SG10A05_AE_01	GMR_10A05_AE_01	JRC_R10A05_GAL4_VNC_20090223	P{GMR10A05-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10A06_AE_01-GMR_10A06_AE_01-20080118_GMR_10A06_AE_01_04-fA01v_20080125041315281-20x-VNC-2626927548298166310-REG_UNISEX_VNC_8bitc_J18VU_SG10A06_AE_01	GMR_10A06_AE_01	JRC_R10A06_GAL4_VNC_20080118	P{GMR10A06-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10A07_AE_01-GMR_10A07_AE_01-20080306_GMR_10A07_AE_01_05-fA01v_20080311010556171-20x-VNC-2627098231997202470-REG_UNISEX_VNC_8bitc_J18VU_SG10A07_AE_01	GMR_10A07_AE_01	JRC_R10A07_GAL4_VNC_20080306	P{GMR10A07-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10A08_AE_01-GMR_10A08_AE_01-20090224_GMR_10A08_AE_01_03-fA01v_20090224113738937-20x-VNC-2623134438132809762-REG_UNISEX_VNC_8bitc_J18VU_SG10A08_AE_01	GMR_10A08_AE_01	JRC_R10A08_GAL4_VNC_20090224	P{GMR10A08-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10A09_AE_01-GMR_10A09_AE_01-20080315_GMR_10A09_AE_01_10-fA01v_20080319000604531-20x-VNC-2623509206468132904-REG_UNISEX_VNC_8bitc_J18VU_SG10A09_AE_01	GMR_10A09_AE_01	JRC_R10A09_GAL4_VNC_20080315	P{GMR10A09-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10A10_AE_01-GMR_10A10_AE_01-20090224_GMR_10A10_AE_01_01-fA01v_20090224114049156-20x-VNC-2622735804660711462-REG_UNISEX_VNC_8bitc_J18VU_SG10A10_AE_01	GMR_10A10_AE_01	JRC_R10A10_GAL4_VNC_20090224	P{GMR10A10-GAL4}	adult ventral nervous system
