filename	label	part_of	Template	dbxrefs	comment	synonyms	is_a
40x-Brain-2580249039756853346	JRC_R11A03-GAL4_MCFO_Brain_20180828_62_A1_40x	female organism|adult brain|P{GMR11A03-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R11A03|jrc_slide_code_api:20180828_62_A1|neuronbridge:R11A03	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180828_62_A1', age: 'Adult'"	R11A03-GAL4|JRC_R11A03-GAL4-GAL4|GMR_11A03-GAL4	expression pattern fragment
40x-Brain-2580249040096591970	JRC_R11A03-GAL4_MCFO_Brain_20180828_62_A2_40x	female organism|adult brain|P{GMR11A03-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R11A03|jrc_slide_code_api:20180828_62_A2|neuronbridge:R11A03	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180828_62_A2', age: 'Adult'"	R11A03-GAL4|JRC_R11A03-GAL4-GAL4|GMR_11A03-GAL4	expression pattern fragment
40x-Brain-2580249040381804642	JRC_R11A03-GAL4_MCFO_Brain_20180828_62_A3_40x	female organism|adult brain|P{GMR11A03-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R11A03|jrc_slide_code_api:20180828_62_A3|neuronbridge:R11A03	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180828_62_A3', age: 'Adult'"	R11A03-GAL4|JRC_R11A03-GAL4-GAL4|GMR_11A03-GAL4	expression pattern fragment
40x-Brain-2580249040667017314	JRC_R11A03-GAL4_MCFO_Brain_20180828_62_A4_40x	female organism|adult brain|P{GMR11A03-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R11A03|jrc_slide_code_api:20180828_62_A4|neuronbridge:R11A03	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180828_62_A4', age: 'Adult'"	R11A03-GAL4|JRC_R11A03-GAL4-GAL4|GMR_11A03-GAL4	expression pattern fragment
40x-Brain-2580249040948035682	JRC_R11A03-GAL4_MCFO_Brain_20180828_62_A5_40x	female organism|adult brain|P{GMR11A03-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R11A03|jrc_slide_code_api:20180828_62_A5|neuronbridge:R11A03	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180828_62_A5', age: 'Adult'"	R11A03-GAL4|JRC_R11A03-GAL4-GAL4|GMR_11A03-GAL4	expression pattern fragment
40x-Brain-2580249041229054050	JRC_R11A03-GAL4_MCFO_Brain_20180828_62_A6_40x	female organism|adult brain|P{GMR11A03-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R11A03|jrc_slide_code_api:20180828_62_A6|neuronbridge:R11A03	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180828_62_A6', age: 'Adult'"	R11A03-GAL4|JRC_R11A03-GAL4-GAL4|GMR_11A03-GAL4	expression pattern fragment
40x-Brain-2580249041505878114	JRC_R11A03-GAL4_MCFO_Brain_20180828_62_B1_40x	female organism|adult brain|P{GMR11A03-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R11A03|jrc_slide_code_api:20180828_62_B1|neuronbridge:R11A03	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180828_62_B1', age: 'Adult'"	R11A03-GAL4|JRC_R11A03-GAL4-GAL4|GMR_11A03-GAL4	expression pattern fragment
40x-Brain-2587080920192254050	JRC_R15A09-GAL4_MCFO_Brain_20180907_61_H1_40x	female organism|adult brain|P{GMR15A09-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R15A09|jrc_slide_code_api:20180907_61_H1|neuronbridge:R15A09	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180907_61_H1', age: 'Adult'"	R15A09-GAL4|JRC_R15A09-GAL4-GAL4|GMR_15A09-GAL4	expression pattern fragment
40x-Brain-2587080920481661026	JRC_R15A09-GAL4_MCFO_Brain_20180907_61_H2_40x	female organism|adult brain|P{GMR15A09-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R15A09|jrc_slide_code_api:20180907_61_H2|neuronbridge:R15A09	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180907_61_H2', age: 'Adult'"	R15A09-GAL4|JRC_R15A09-GAL4-GAL4|GMR_15A09-GAL4	expression pattern fragment
40x-Brain-2587080920762679394	JRC_R15A09-GAL4_MCFO_Brain_20180907_61_H4_40x	female organism|adult brain|P{GMR15A09-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R15A09|jrc_slide_code_api:20180907_61_H4|neuronbridge:R15A09	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180907_61_H4', age: 'Adult'"	R15A09-GAL4|JRC_R15A09-GAL4-GAL4|GMR_15A09-GAL4	expression pattern fragment
