subject_external_id	subject_external_db	relation	pub	object	subject_name
200326126	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	CL141_L (FlyEM-HB:200326126)
202916528	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FS4C(FQ12)_C4_R (FlyEM-HB:202916528)
203253072	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FS4A(AB)(FQ12)_C3_R (FlyEM-HB:203253072)
203253253	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	SMP505(PDM22)_L (FlyEM-HB:203253253)
203257652	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FS4C(FQ12)_C6_R (FlyEM-HB:203257652)
203594169	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FS4A(AB)(FQ12)_C4_R (FlyEM-HB:203594169)
203594175	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FS4A(AB)(FQ12)_C4_R (FlyEM-HB:203594175)
203598499	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	FB8H_L (FlyEM-HB:203598499)
203598504	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FS4A(FQ12)_C5_R (FlyEM-HB:203598504)
203598542	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FS4B(FQ12)_C4_R (FlyEM-HB:203598542)
203598557	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FS4B(FQ12)_C8_R (FlyEM-HB:203598557)
203836007	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	PI2 (FlyEM-HB:203836007)
203931040	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FS4A(AB)(FQ12)_C3_R (FlyEM-HB:203931040)
204613133	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	FB8E_L (FlyEM-HB:204613133)
204962646	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	FB7L_L (FlyEM-HB:204962646)
205299889	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	FB8F_b_L (FlyEM-HB:205299889)
206555682	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	PI1_c (FlyEM-HB:206555682)
232513628	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	OCG01 (FlyEM-HB:232513628)
232513671	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	OCG01 (FlyEM-HB:232513671)
233105330	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP444_R (FlyEM-HB:233105330)
233877926	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	OCG01 (FlyEM-HB:233877926)
234292899	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	FB7M_L (FlyEM-HB:234292899)
235985275	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	FB8E_L (FlyEM-HB:235985275)
236330337	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	FB7I_L (FlyEM-HB:236330337)
236331138	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	FB7G_L (FlyEM-HB:236331138)
262167456	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	OCG01 (FlyEM-HB:262167456)
262504004	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	OCG01 (FlyEM-HB:262504004)
262517074	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	OCG01 (FlyEM-HB:262517074)
262840563	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	OCG01 (FlyEM-HB:262840563)
263199096	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	OCG01 (FlyEM-HB:263199096)
263475451	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP535_R (FlyEM-HB:263475451)
263522664	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	OCG01 (FlyEM-HB:263522664)
263674097	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	LHPD2a5_a_R (FlyEM-HB:263674097)
264014957	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	LHPD2a5_a_R (FlyEM-HB:264014957)
264083994	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	DN1a_R (FlyEM-HB:264083994)
264438143	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP418_R (FlyEM-HB:264438143)
264779403	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	LHPV5a3_R (FlyEM-HB:264779403)
264783939	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	LHPV5a3_R (FlyEM-HB:264783939)
264822904	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP414_R (FlyEM-HB:264822904)
264986706	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FS4B(AB)(FQ12)_C3_R (FlyEM-HB:264986706)
265120223	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	LHPV5a3_R (FlyEM-HB:265120223)
265120324	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	LHPV5a3_R (FlyEM-HB:265120324)
265120424	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP414_R (FlyEM-HB:265120424)
265120467	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP414_R (FlyEM-HB:265120467)
265120589	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP414_R (FlyEM-HB:265120589)
265120597	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FB1D_R (FlyEM-HB:265120597)
265120677	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FB8A_R (FlyEM-HB:265120677)
265124786	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP075_R (FlyEM-HB:265124786)
265155147	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP500_R (FlyEM-HB:265155147)
265655867	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	FB8F_b_L (FlyEM-HB:265655867)
265669024	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	SMP166(AVM07)_L (FlyEM-HB:265669024)
266187342	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP347_R (FlyEM-HB:266187342)
266187383	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP347_R (FlyEM-HB:266187383)
266187477	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP349_R (FlyEM-HB:266187477)
266187480	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP349_R (FlyEM-HB:266187480)
266187532	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP352_R (FlyEM-HB:266187532)
266187559	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP399_R (FlyEM-HB:266187559)
266191395	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP034_R (FlyEM-HB:266191395)
266191407	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP481_R (FlyEM-HB:266191407)
266200011	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP187_R (FlyEM-HB:266200011)
266276935	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	PI2 (FlyEM-HB:266276935)
266527996	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP351_R (FlyEM-HB:266527996)
266528044	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP351_R (FlyEM-HB:266528044)
266528078	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP352_R (FlyEM-HB:266528078)
266528086	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP352_R (FlyEM-HB:266528086)
266536576	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	FB7G_R (FlyEM-HB:266536576)
266847236	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP413_R (FlyEM-HB:266847236)
266873389	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP340_R (FlyEM-HB:266873389)
266873401	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP025_R (FlyEM-HB:266873401)
266873591	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP350_R (FlyEM-HB:266873591)
267214250	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	pC1b_R (FlyEM-HB:267214250)
267223027	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP259_R (FlyEM-HB:267223027)
267223104	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP025_R (FlyEM-HB:267223104)
267227062	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP424_R (FlyEM-HB:267227062)
267304783	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	left side of organism	PI1_a (FlyEM-HB:267304783)
267551639	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	pC1c_R (FlyEM-HB:267551639)
267559575	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SIP079_R (FlyEM-HB:267559575)
267559665	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SIP083_R (FlyEM-HB:267559665)
267564140	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP428_R (FlyEM-HB:267564140)
267572587	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP426_R (FlyEM-HB:267572587)
267896359	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SLP421_R (FlyEM-HB:267896359)
267896360	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SMP347_R (FlyEM-HB:267896360)
267900632	neuprint_JRC_Hemibrain_1point1	has_soma_location	doi:10.1101/2023.06.27.546055	right side of organism	SIP085_R (FlyEM-HB:267900632)
