filename	label	AD	DBD	part_of	Template	synonyms	comment
20x-Brain-1845060921378996322	JRC_LH2453_Brain_2019_20121114_31_E5_20x	PBac{R20A02-p65.AD}	P{R67F03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB072C|GMR_MB072C|JRC_MB072C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20121114_31_E5', age: 'Day 6-10'
20x-Brain-2268136045008650314	JRC_LH2456_Brain_2019_20130115_31_A1_20x	P{R38D01-p65.AD}	P{R77F05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB036B|GMR_MB036B|JRC_MB036B	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130115_31_A1', age: 'Day 6-10'
20x-Brain-1852298186517905506	JRC_LH2451_Brain_2019_20130123_33_B1_20x	P{R54G12-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00601|GMR_SS00601|JRC_SS00601	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_33_B1', age: 'Day 6-10'
20x-Brain-1996778063358066786	JRC_LH2448_Brain_2019_20140411_32_G1_20x	P{R10E07-p65.AD}	P{R53C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB295B|GMR_MB295B|JRC_MB295B	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140411_32_G1', age: 'Day 1-5'
20x-Brain-2022090243204710498	JRC_LH2454_Brain_2019_20140609_41_B3_20x	P{ple-p65.AD}	P{R42H01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB583B|GMR_MB583B|JRC_MB583B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140609_41_B3', age: 'Day 1-5'
20x-Brain-2037250318328135778	JRC_LH2446_Brain_2019_20140617_41_F1_20x	P{VT029753-p65.AD}	P{R55C09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01371|GMR_SS01371|JRC_SS01371	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140617_41_F1', age: 'Day 1-5'
20x-Brain-2084467421808164962	JRC_LH18_Brain_2019_20141114_44_G1_20x	P{R84F07-p65.AD}	P{R10G01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	IS15129|JRC_IS15129	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_44_G1', age: 'Day 1-5'
20x-Brain-2084467454364352610	JRC_LH374_Brain_2019_20141121_43_G3_20x	P{R13E04-p65.AD}	P{R53B06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	IS15112|JRC_IS15112	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141121_43_G3', age: 'Day 1-5'
20x-Brain-2092815209646260322	JRC_LH185_Brain_2019_20141212_41_A1_20x	P{R20A03-p65.AD}	P{R30H02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	IS15249|JRC_IS15249	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_A1', age: 'Day 1-5'
20x-Brain-2092815347815022690	JRC_LH258_Brain_2019_20141212_41_C3_20x	P{R21D06-p65.AD}	P{R37F05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	IS04955|JRC_IS04955	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_C3', age: 'Day 1-5'
20x-Brain-2092815379721093218	JRC_LH259_Brain_2019_20141212_41_C5_20x	P{R93F07-p65.AD}	P{R37F05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	IS15285|JRC_IS15285	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_C5', age: 'Day 1-5'
20x-Brain-2092815415481729122	JRC_LH260_Brain_2019_20141212_41_D2_20x	P{R46E07-p65.AD}	P{R38F08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	IS15267|JRC_IS15267	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_D2', age: 'Day 1-5'
20x-Brain-2092815528593719394	JRC_LH168_Brain_2019_20141212_41_F1_20x	P{R46A08-p65.AD}	P{R25B07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	IS15296|JRC_IS15296	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_F1', age: 'Day 1-5'
20x-Brain-2092815568502521954	JRC_LH85_Brain_2019_20141212_41_F5_20x	P{R50H07-p65.AD}	P{R16H04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	IS15297|JRC_IS15297	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_F5', age: 'Day 1-5'
20x-Brain-2094604460230705250	JRC_LH166_Brain_2019_20141219_42_B5_20x	P{R31D07-p65.AD}	P{R25B07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	IS15293|JRC_IS15293	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141219_42_B5', age: 'Day 1-5'
20x-Brain-2094604469693055074	JRC_LH180_Brain_2019_20141219_42_C5_20x	P{R24C08-p65.AD}	P{R30E03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	IS15290|JRC_IS15290	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141219_42_C5', age: 'Day 1-5'
