filename	label	is_a	part_of	dbxrefs	comment
720575941572689054	BANC_626:720575941572689054	adult neuron	female organism	BANC626:720575941572689054	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Class - antennal_lobe_projection_neuron, Sub Class - multiglomerular_projection_neuron, Primary Cell Type - M_adPNm4c, Alternative Cell Type(s) - M_adPNm4c,M_adPNm5c, Community labels - (M_adPNm4,M_adPNm5)c,soma in brain.
720575941572689822	BANC_626:720575941572689822	adult neuron	female organism	BANC626:720575941572689822	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Primary Cell Type - PS224, Alternative Cell Type(s) - PS224, Community labels - soma in brain.
720575941572690590	BANC_626:720575941572690590	adult neuron	female organism	BANC626:720575941572690590	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Primary Cell Type - CB1765, Alternative Cell Type(s) - CB1765, Community labels - soma in brain.
720575941572694685	BANC_626:720575941572694685	adult neuron	female organism	BANC626:720575941572694685	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - medulla_intrinsic, Primary Cell Type - Mi1, Alternative Cell Type(s) - Mi1, Community labels - CNS neuron,soma in brain.
720575941572695049	BANC_626:720575941572695049	adult neuron	female organism	BANC626:720575941572695049	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Primary Cell Type - CB1958, Alternative Cell Type(s) - CB1958, Community labels - soma in brain.
720575941572696648	BANC_626:720575941572696648	adult neuron	female organism	BANC626:720575941572696648	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - lobula_intrinsic, Primary Cell Type - Li02, Alternative Cell Type(s) - Li02, Community labels - soma in brain.
720575941572697246	BANC_626:720575941572697246	adult neuron	female organism	BANC626:720575941572697246	BANC annotations: Flow - afferent, Super Class - sensory, Class - external_taste_sensillum_neuron, Sub Class - labellum_external_taste_sensillum_neuron, Primary Cell Type - LB3a, Alternative Cell Type(s) - LB3a, Nerve - right_maxillary-labial_nerve.
720575941572697758	BANC_626:720575941572697758	adult neuron	female organism	BANC626:720575941572697758	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Primary Cell Type - PLP216, Alternative Cell Type(s) - PLP216, Community labels - soma in brain.
720575941572698014	BANC_626:720575941572698014	adult neuron	female organism	BANC626:720575941572698014	BANC annotations: Flow - intrinsic, Super Class - central_brain_intrinsic, Primary Cell Type - CRE105, Alternative Cell Type(s) - CRE105, Community labels - soma in brain.
720575941572698888	BANC_626:720575941572698888	adult neuron	female organism	BANC626:720575941572698888	BANC annotations: Flow - intrinsic, Super Class - optic_lobe_intrinsic, Class - transmedullary, Primary Cell Type - Tm2, Alternative Cell Type(s) - Tm2, Community labels - CNS neuron,soma in brain.
