filename	label	AD	DBD	part_of	Template	synonyms	comment
20x-Brain-2237375082517233701	JRC_SS04778_Brain_2018_20160202_32_E3_20x	P{R47G08-p65.AD}	P{VT012791-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS04778|JRC_SS04778	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160202_32_E3', age: 'Day 1-5'
20x-Brain-2237378323623706722	JRC_SS00081_Brain_2018_20160122_43_C5_20x	P{R16D01-p65.AD}	P{R21H11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00081|GMR_SS00081|JRC_SS00081	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA (attP18), pJFRC216-13XLexAop2-IVS-myr::smGFP-V5 (su(Hw)attP8; Dr e /TM6B', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160122_43_C5', age: 'Day 1-5'
20x-Brain-2237378331437695074	JRC_SS00190_Brain_2018_20160122_43_H2_20x	P{R38G07-p65.AD}	P{R30E10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00190|GMR_SS00190|JRC_SS00190	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA (attP18), pJFRC216-13XLexAop2-IVS-myr::smGFP-V5 (su(Hw)attP8; Dr e /TM6B', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160122_43_H2', age: 'Day 1-5'
20x-Brain-2244284421903482978	JRC_SS25983_Brain_2018_20160212_44_C4_20x	P{R47G08-p65.AD}	P{R26F04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS25983|JRC_SS25983	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA (attP18), pJFRC216-13XLexAop2-IVS-myr::smGFP-V5 (su(Hw)attP8; Dr e /TM6B', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160212_44_C4', age: 'Day 1-5'
20x-Brain-2482724465448845410	JRC_SS47384_Brain_2018_20171206_36_D1_20x	P{VT048946-p65.AD}	P{VT008882-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS47384|JRC_SS47384	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171206_36_D1', age: 'Day 1-5'
20x-Brain-2482724465771806818	JRC_SS47392_Brain_2018_20171206_36_E3_20x	P{VT003229-p65.AD}	P{VT008882-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS47392|JRC_SS47392	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171206_36_E3', age: 'Day 1-5'
20x-Brain-2483027150324629602	JRC_SS47449_Brain_2018_20171213_31_E2_20x	P{R38D03-p65.AD}	P{VT024603-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS47449|JRC_SS47449	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171213_31_E2', age: 'Day 1-5'
20x-Brain-2483027150765031522	JRC_SS47436_Brain_2018_20171213_31_F4_20x	P{R12G04-p65.AD}	P{VT046049-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS47436|JRC_SS47436	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171213_31_F4', age: 'Day 1-5'
20x-Brain-2483057097999122530	JRC_SS47398_Brain_2018_20171213_32_E1_20x	P{VT020742-p65.AD}	P{VT017270-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS47398|JRC_SS47398	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171213_32_E1', age: 'Day 1-5'
20x-Brain-2483057098376609890	JRC_SS47467_Brain_2018_20171213_32_F2_20x	P{R48H02-p65.AD}	P{VT038448-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS47467|JRC_SS47467	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171213_32_F2', age: 'Day 1-5'
