filename	label	AD	DBD	part_of	Template	synonyms	comment
20x-Brain-1814592531820707938	JRC_MB042B_Brain_2014_20121001_31_A1	P{R58E02-p65.AD}	P{R22E04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB042B	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121001_31_A1', age: 'Day 6-10'
20x-Brain-1841433275831156834	JRC_MB310C_Brain_2014_20121029_32_D4	PBac{R52G04-p65.AD}	P{R17C11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB310C	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121029_32_D4', age: 'Day 6-10'
20x-Brain-1858872928242761826	JRC_MB310C_Brain_2014_20121029_32_D5	PBac{R52G04-p65.AD}	P{R17C11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB310C	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20121029_32_D5', age: 'Day 6-10'
20x-Brain-1858872936757198946	JRC_MB504B_Brain_2014_20121031_31_A5	P{R52H03-p65.AD}	P{ple-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB504B	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121031_31_A5', age: 'Day 6-10'
20x-Brain-1858872939043094626	JRC_MB060B_Brain_2014_20121031_31_D2	P{R82C10-p65.AD}	P{R72B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB060B	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121031_31_D2', age: 'Day 6-10'
20x-Brain-1858872939185700962	JRC_MB060B_Brain_2014_20121031_31_D3	P{R82C10-p65.AD}	P{R72B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB060B	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121031_31_D3', age: 'Day 6-10'
20x-Brain-1858872939403804770	JRC_MB060B_Brain_2014_20121031_31_D5	P{R82C10-p65.AD}	P{R72B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB060B	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121031_31_D5', age: 'Day 6-10'
20x-Brain-1841433281300529250	JRC_MB296B_Brain_2014_20121031_31_F1	P{R15B01-p65.AD}	P{R26F01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB296B	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121031_31_F1', age: 'Day 6-10'
20x-Brain-1841433281535410274	JRC_MB296B_Brain_2014_20121031_31_F2	P{R15B01-p65.AD}	P{R26F01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB296B	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121031_31_F2', age: 'Day 6-10'
20x-Brain-1841433281900314722	JRC_MB296B_Brain_2014_20121031_31_F4	P{R15B01-p65.AD}	P{R26F01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB296B	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121031_31_F4', age: 'Day 6-10'
20x-Brain-1858872942344011874	JRC_MB065B_Brain_2014_20121031_31_G1	P{ple-p65.AD}	P{R72B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB065B	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121031_31_G1', age: 'Day 6-10'
20x-Brain-1858872942549532770	JRC_MB065B_Brain_2014_20121031_31_G2	P{ple-p65.AD}	P{R72B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	GMR_MB065B	tile(s): 'brain', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121031_31_G2', age: 'Day 6-10'
