subject_external_db	subject_external_id	subject_name	relation	object	notes
catmaid_l1em	12140925	A01a_a1l	is_a		later
catmaid_l1em	7924478	A01b2_a1l 	is_a		later
catmaid_l1em	16504350	A01bx_a1l	is_a		listed as incomplete in pub
catmaid_l1em	4113533	A01c1_a1l	is_a		later
catmaid_l1em	5084467	A01c2_a1l (ipsi_dendrite)	is_a		later
catmaid_l1em	4123145	A01x_a1l	is_a	larval abdominal 1 A01x neuron	
catmaid_l1em	6931770	A01x_l	is_a		segment?
catmaid_l1em	11106522	A01x2_a1l	is_a	larval abdominal 1 A01x2 neuron	
catmaid_l1em	9544992	A01x3_a1l	is_a	larval abdominal 1 A01x3 neuron	
catmaid_l1em	13004884	A02a- looper-1_a1l_JMpair1	is_a		later
catmaid_l1em	6578062	A02b_a1l 	is_a	larval abdominal 1 A02b neuron	
catmaid_l1em	14046279	A02d_a1l 	is_a	larval abdominal 1 A02d neuron	
catmaid_l1em	7992966	A02e_a1l	is_a	larval abdominal 1 A02e neuron	
catmaid_l1em	4071032	A02f_a1l 	is_a	larval abdominal 1 A02f neuron	
catmaid_l1em	14866842	A02g_a1l	is_a	larval abdominal 1 A02g neuron	
catmaid_l1em	12820178	A02h_a1l	is_a	larval abdominal 1 A02h neuron	
catmaid_l1em	2798040	A02i_a1l	is_a	larval abdominal 1 A02i neuron	
catmaid_l1em	18769231	A02j_a1l	is_a		later
catmaid_l1em	4715415	A02k Pseudolooper-1_a1l 	is_a	larval abdominal 1 A02k neuron	
catmaid_l1em	3546835	A02n_a1l Pseudolooper-4	is_a	larval abdominal 1 A02n neuron	
catmaid_l1em	8688631	A03a4_a1l	is_a	larval abdominal 1 A03a4 neuron	
catmaid_l1em	10089252	A03EGB_a2l (EGHBAL)	is_a		?
catmaid_l1em	4039711	A03xyz_a1l	is_a		later
catmaid_l1em	10858401	A06a_a1l	is_a	larval abdominal 1 A06a neuron	
catmaid_l1em	7343002	A06bx_a1l	is_a		later
catmaid_l1em	12809976	A06c_a1l	is_a	larval abdominal 1 A06c neuron	
catmaid_l1em	10474936	A06e_a1l (Saaghi-3)	is_a	larval abdominal 1 Saaghi 3 neuron	
catmaid_l1em	4386719	A06f_a1l (Saaghi-2)	is_a	larval abdominal 1 Saaghi 2 neuron	
catmaid_l1em	12039793	A06g2_a1l (Saaghi-5)	is_a		later
catmaid_l1em	18458734	A06k_a1l	is_a		later
catmaid_l1em	18418512	A06l_a1l (Saaghi-1)	is_a	larval abdominal 1 Saaghi 1 neuron	
catmaid_l1em	8235049	A06m_a1l	is_a		not in pub
catmaid_l1em	4542822	A06x1_a1l	is_a	larval abdominal 1 A06x1 neuron	
catmaid_l1em	16009772	A08c_a1l	is_a		later
catmaid_l1em	7876385	A08e1_a1l 	is_a	larval abdominal 1 A08e1 local neuron	
catmaid_l1em	12809923	A08e2_a1l	is_a	larval abdominal 1 A08e2 local neuron	
catmaid_l1em	8421329	A08e3_a1l 	is_a	larval abdominal 1 A08e3 local neuron	
catmaid_l1em	8057753	A08j2_a1l	is_a		later
catmaid_l1em	17399735	A08o_a1l	is_a		later
catmaid_l1em	8059283	A08s1_a1l 	is_a		later
catmaid_l1em	12820277	A14a_a1l	is_a	larval abdominal 1 A14a neuron	
catmaid_l1em	10299625	A14a1_a1l	is_a		later
catmaid_l1em	12820085	A14b a1l	is_a		later
catmaid_l1em	6330796	A19b a1l	is_a		later
catmaid_l1em	10054666	A19x a1l	is_a		later
catmaid_l1em	8196192	Jaam-1_a1l (HMD1 (A12p))	is_a		later
catmaid_l1em	11466247	Jaam-2_a1l (HMD2 (A12g))	is_a		later
catmaid_l1em	11928389	Jaam-3_a1l (HMD3 (A12 c3))	is_a		later
catmaid_l1em	12040460	Saaghi-4_a1l (AAZ4  (A06g))	is_a		later
catmaid_l1em	12042425	Saaghi-6_a1l (AAZ6  (A06b))	is_a		later
catmaid_l1em	10929797	VLEL4_a1l	is_a		later
catmaid_l1em	11455472	VLEL9_a1l	is_a		later
